"Shape of You
Ed Sheeran","3,758,827,279",2017
"Believer
Imagine Dragons","2,820,598,752",2017
"Perfect
Ed Sheeran","2,792,620,169",2017
"Something Just Like This
The Chainsmokers","2,397,553,538",2017
"Thunder
Imagine Dragons","2,232,488,028",2017
"Jocelyn Flores
XXXTENTACION","2,098,596,218",2017
"HUMBLE.
Kendrick Lamar","2,079,089,933",2017
"One Kiss
Calvin Harris","2,044,831,771",2017
"XO Tour Llif3
Lil Uzi Vert","2,038,909,283",2017
"New Rules
Dua Lipa","2,010,092,906",2017
"Too Good At Goodbyes
Sam Smith","1,942,018,808",2017
"Unforgettable
French Montana","1,876,395,543",2017
"Attention
Charlie Puth","1,710,583,899",2017
"Despacito - Remix
Luis Fonsi","1,679,675,704",2017
"Despacito (Featuring Daddy Yankee)
Luis Fonsi","1,677,604,135",2017
"Girls Like You (feat. Cardi B) - Cardi B Version
Maroon 5","1,607,808,128",2017
"IDGAF
Dua Lipa","1,523,892,915",2017
"Passionfruit
Drake","1,511,069,872",2017
"Mask Off
Future","1,505,837,675",2017
"Everybody Dies In Their Nightmares
XXXTENTACION","1,498,638,434",2017
"Silence
Marshmello","1,497,610,185",2017
"Fuck Love (feat. Trippie Redd)
XXXTENTACION","1,493,123,862",2017
"Beggin'
Måneskin","1,487,628,876",2017
"Young Dumb & Broke
Khalid","1,444,862,247",2017
"Sign of the Times
Harry Styles","1,431,752,975",2017
"Mi Gente
J Balvin","1,419,243,613",2017
"Let You Down
NF","1,409,794,988",2017
"Symphony (feat. Zara Larsson)
Clean Bandit","1,388,516,469",2017
"Ric Flair Drip (with Metro Boomin)
Offset","1,388,160,209",2017
"It Ain't Me
Kygo","1,377,426,009",2017
"See You Again (feat. Kali Uchis)
Tyler, The Creator","1,368,508,817",2017
"Dandelions
Ruth B.","1,357,559,947",2017
"Meant to Be (feat. Florida Georgia Line)
Bebe Rexha","1,337,854,225",2017
"Location
Khalid","1,323,161,612",2017
"Wolves
Selena Gomez","1,312,820,193",2017
"Lush Life
Zara Larsson","1,311,868,730",2017
"1-800-273-8255
Logic","1,299,956,650",2017
"Castle on the Hill
Ed Sheeran","1,286,266,626",2017
"Happier
Ed Sheeran","1,283,437,951",2017
"ocean eyes
Billie Eilish","1,274,516,525",2017
"More Than You Know
Axwell /\ Ingrosso","1,271,799,155",2017
"Galway Girl
Ed Sheeran","1,259,308,274",2017
"Feel It Still
Portugal. The Man","1,236,903,417",2017
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)
DJ Khaled","1,226,458,618",2017
"LOVE. FEAT. ZACARI.
Kendrick Lamar","1,222,752,485",2017
"Best Part (feat. H.E.R.)
Daniel Caesar","1,216,768,312",2017
"Scared to Be Lonely
Martin Garrix","1,203,714,425",2017
"Revenge
XXXTENTACION","1,191,574,685",2017
"Stay
Zedd","1,189,104,367",2017
"Issues
Julia Michaels","1,174,128,889",2017
"Whatever It Takes
Imagine Dragons","1,161,044,481",2017
"What Lovers Do (feat. SZA)
Maroon 5","1,160,864,928",2017
"Dark Red
Steve Lacy","1,148,595,040",2017
"Paris
The Chainsmokers","1,143,847,021",2017
"Sorry Not Sorry
Demi Lovato","1,128,185,625",2017
"Bank Account
21 Savage","1,110,979,596",2017
"Apocalypse
Cigarettes After Sex","1,088,603,307",2017
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Jason Derulo","1,085,839,883",2017
"DNA.
Kendrick Lamar","1,082,945,685",2017
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)
Calvin Harris","1,081,918,784",2017
"Wild Thoughts (feat. Rihanna & Bryson Tiller)
DJ Khaled","1,072,657,641",2017
"Look What You Made Me Do
Taylor Swift","1,051,468,655",2017
"idontwannabeyouanymore
Billie Eilish","1,034,765,640",2017
"Without You (feat. Sandro Cavazza)
Avicii","1,014,007,797",2017
"Mo Bamba
Sheck Wes","1,008,675,650",2017
"Murder on My Mind
YNW Melly","1,007,122,253",2017
"Slide (feat. Frank Ocean & Migos)
Calvin Harris","993,571,699",2017
"Infinity
Jaymes Young","989,206,836",2017
"Chantaje (feat. Maluma)
Shakira","957,370,471",2017
"Don’t Blame Me
Taylor Swift","952,092,944",2017
"Fake Love
Drake","946,475,845",2017
"Never Forget You
Zara Larsson","945,125,531",2017
"Rewrite The Stars
Zac Efron","939,590,395",2017
"Human
Rag'n'Bone Man","937,298,455",2017
"20 Min
Lil Uzi Vert","921,215,779",2017
"Don't Wanna Know (feat. Kendrick Lamar)
Maroon 5","921,019,858",2017
"Nevermind
Dennis Lloyd","917,089,970",2017
"The Way Life Goes (feat. Oh Wonder)
Lil Uzi Vert","909,851,695",2017
"Felices los 4
Maluma","906,788,328",2017
"Échame La Culpa
Luis Fonsi","905,444,407",2017
"Slow Hands
Niall Horan","902,011,760",2017
"bellyache
Billie Eilish","898,375,412",2017
"Delicate
Taylor Swift","892,832,726",2017
"Him & I (with Halsey)
G-Eazy","890,863,795",2017
"Pretty Girl - Cheat Codes X CADE Remix
Maggie Lindemann","887,756,574",2017
"Bored
Billie Eilish","885,250,705",2017
"This Town
Niall Horan","881,201,499",2017
"Drowning (feat. Kodak Black)
A Boogie Wit da Hoodie","861,152,937",2017
"Criminal
NATTI NATASHA","856,003,792",2017
"Glorious (feat. Skylar Grey)
Macklemore","853,201,093",2017
"No Money
Galantis","846,036,116",2017
"Body Like A Back Road
Sam Hunt","840,349,092",2017
"El Perdón (with Enrique Iglesias)
Nicky Jam","837,566,736",2017
"Lost Boy
Ruth B.","813,176,860",2017
"River
Eminem","805,798,916",2017
"2U (feat. Justin Bieber)
David Guetta","803,457,530",2017
"Se Preparó
Ozuna","790,579,380",2017
"Malibu
Miley Cyrus","783,566,415",2017
"Perfect Duet (Ed Sheeran & Beyoncé)
Ed Sheeran","782,054,063",2017
"This Is Me
Keala Settle","775,757,860",2017
"Magnolia
Playboi Carti","771,185,722",2017
"Escápate Conmigo (feat. Ozuna)
Wisin","767,798,343",2017
"Finesse - Remix; feat. Cardi B
Bruno Mars","763,299,787",2017
"Love Galore (feat. Travis Scott)
SZA","762,122,723",2017
"What About Us
P!nk","749,668,351",2017
"Beautiful Crazy
Luke Combs","746,459,402",2017
"Caroline
Aminé","743,064,520",2017
"Boulevard of Broken Dreams
Green Day","736,628,267",2017
"Save That Shit
Lil Peep","727,465,478",2017
"When It Rains It Pours
Luke Combs","720,153,146",2017
"Chanel
Frank Ocean","709,798,327",2017
"Plain Jane
A$AP Ferg","709,750,255",2017
"Bounce Back
Big Sean","699,753,809",2017
"Supermarket Flowers
Ed Sheeran","690,727,901",2017
"Mayores
Becky G","682,571,151",2017
"SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)
Enrique Iglesias","680,608,532",2017
